Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Primary Collection (product.metafields.custom.collection),Personalization type (product.metafields.custom.personalization_type),Product family (product.metafields.custom.product_family),Size Guide (product.metafields.custom.size_guide),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Care instructions (product.metafields.shopify.care-instructions),Case transparency level (product.metafields.shopify.case-transparency-level),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Personalization options (product.metafields.shopify.personalization-options),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
life-balance-crystal-t-shirt,LIFE BALANCE,"<p><meta charset=""utf-8""><span>Made from 100% cotton (270 gsm) for a structured yet relaxed fit. Finished with an acid-washed effect and subtle crystal detailing. Presented in premium, gift-ready packaging.</span></p>",Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Apparel,"crystal collection, t-shirt",true,Size,xs,product.metafields.shopify.size,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/LIFE-BALANCE-CRYSTAL-T-SHIRT_-BACK_1.png?v=1786379134,1,,false,Life Balance Crystal T-Shirt,,Crystal,,T-Shirt,t-shirt-cr,,,,,,black,,,,,,xs; s; m; l,,,,,,,,,kg,,,active
life-balance-crystal-t-shirt,,,,,,,,,s,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/LIFE-BALANCE-CRYSTAL-T-SHIRT_-FRONT.png?v=1786379134,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
life-balance-crystal-t-shirt,,,,,,,,,m,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
life-balance-crystal-t-shirt,,,,,,,,,l,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
no-afters-crystal-t-shirt,NO AFTERS,"<p><meta charset=""utf-8""><span>Made from 100% cotton (270 gsm) for a structured yet relaxed fit. Finished with an acid-washed effect and subtle crystal detailing. Presented in premium, gift-ready packaging.</span></p>",Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Apparel,"crystal collection, t-shirt",true,Size,xs,product.metafields.shopify.size,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/NO-AFTERS-CRYSTAL-T-SHIRT-BACK.png?v=1786379134,1,,false,No Afters Crystal T-Shirt,,Crystal,,T-Shirt,t-shirt-cr,,,,,,black,,regular,,,,xs; s; m; l,,,,,,,,,kg,,,active
no-afters-crystal-t-shirt,,,,,,,,,s,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/NO-AFTERS-CRYSTAL-T-SHIRT_-FRONT.png?v=1786379134,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
no-afters-crystal-t-shirt,,,,,,,,,m,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/NO-AFTERS-CRYSTAL-T-SHIRT-BACK.png?v=1786379134,kg,,,
no-afters-crystal-t-shirt,,,,,,,,,l,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-talent-of-overthinking-white-manifesto,TALENT OF OVERTHINKING | White,<p>Premium Kauffman Concept T-shirt with statement artwork. Each item is prepared for gift-ready packaging.</p>,Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Apparel,Manifesto,true,Size,xs,product.metafields.shopify.size,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/TALENT-OF-OVERTHINKING-T-SHIRT-WHITE_BACK-SIDE.png?v=1786379134,1,,false,T-Shirt - TALENT OF OVERTHINKING White,T-Shirt - TALENT OF OVERTHINKING White from Kauffman Concept.,Manifesto,,T-Shirt,,,,,,,,,,,,,xs; s; m; l,,,,,,,,,kg,,,active
t-shirt-talent-of-overthinking-white-manifesto,,,,,,,,,s,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/03-KF-MF-TALENT-OF-OVERTHINKING-TSHIRT-WHITE-FRONT.png?v=1784445612,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
